,date,weekday,is_festival,guests,sales,assigned_staff,total_staff_level,staff_count,sale_per_guest,staff_per_guest,level_per_staff,month,season,Unnamed: 0,weather_code (wmo code),temperature_2m_mean (°C),snowfall_sum (cm),rain_sum (mm)
22,2000-01-23,Sunday,0,215,257983,"['Eve', 'Ivy', 'Mia', 'David']",19,4,1199.9209302325582,0.0186046511627906,4.75,1,winter,5662.0,51.0,4.9,0.0,1.2
23,2000-01-24,Monday,0,140,168056,"['Eve', 'Ivy', 'Bob']",12,3,1200.4,0.0214285714285714,4.0,1,winter,5663.0,71.0,7.2,0.07,0.7
24,2000-01-25,Tuesday,0,158,189658,"['Eve', 'Ivy', 'David']",14,3,1200.367088607595,0.0189873417721519,4.666666666666667,1,winter,5664.0,71.0,0.9,0.42,0.2
25,2000-01-26,Wednesday,0,118,141582,"['Eve', 'Ivy']",10,2,1199.8474576271187,0.0169491525423728,5.0,1,winter,5665.0,3.0,0.6,0.0,0.0
26,2000-01-27,Thursday,0,111,133110,"['Eve', 'David']",9,2,1199.1891891891892,0.018018018018018,4.5,1,winter,5666.0,2.0,-0.7,0.0,0.0
27,2000-01-28,Friday,0,167,200418,"['Eve', 'Ivy', 'Mia']",15,3,1200.1077844311378,0.0179640718562874,5.0,1,winter,5667.0,0.0,0.5,0.0,0.0
28,2000-01-29,Saturday,0,270,323952,"['Eve', 'Ivy', 'Mia', 'Quinn', 'David']",24,5,1199.8222222222223,0.0185185185185185,4.8,1,winter,5668.0,3.0,3.1,0.0,0.0
29,2000-01-30,Sunday,0,257,308430,"['Eve', 'Ivy', 'Mia', 'Quinn', 'Charlie']",23,5,1200.1167315175098,0.0194552529182879,4.6,1,winter,5669.0,1.0,5.8,0.0,0.0
30,2000-01-31,Monday,0,138,165696,"['Eve', 'Ivy', 'Bob']",12,3,1200.695652173913,0.0217391304347826,4.0,1,winter,5670.0,3.0,2.1,0.0,0.0
31,2000-02-01,Tuesday,0,120,144044,"['Eve', 'Ivy']",10,2,1200.3666666666666,0.0166666666666666,5.0,2,winter,5671.0,3.0,2.3,0.0,0.0
32,2000-02-02,Wednesday,0,137,164385,"['Eve', 'Ivy', 'Bob']",12,3,1199.890510948905,0.0218978102189781,4.0,2,winter,5672.0,3.0,3.1,0.0,0.0
33,2000-02-03,Thursday,0,149,178851,"['Eve', 'Ivy', 'Charlie']",13,3,1200.3422818791946,0.0201342281879194,4.333333333333333,2,winter,5673.0,51.0,4.8,0.0,0.4
34,2000-02-04,Friday,0,149,178829,"['Eve', 'Ivy', 'Charlie']",13,3,1200.1946308724832,0.0201342281879194,4.333333333333333,2,winter,5674.0,51.0,2.8,0.0,0.2
35,2000-02-05,Saturday,0,291,349255,"['Eve', 'Ivy', 'Mia', 'Quinn', 'Uma', 'Alice']",26,6,1200.1890034364262,0.0206185567010309,4.333333333333333,2,winter,5675.0,3.0,4.1,0.0,0.0
36,2000-02-06,Sunday,0,265,317967,"['Eve', 'Ivy', 'Mia', 'Quinn', 'Charlie']",23,5,1199.8754716981132,0.0188679245283018,4.6,2,winter,5676.0,51.0,5.3,0.0,0.5
37,2000-02-07,Monday,0,179,214763,"['Eve', 'Ivy', 'Mia', 'Alice']",16,4,1199.7932960893854,0.0223463687150838,4.0,2,winter,5677.0,51.0,6.3,0.0,0.1
38,2000-02-08,Tuesday,0,177,212405,"['Eve', 'Ivy', 'Mia']",15,3,1200.0282485875707,0.0169491525423728,5.0,2,winter,5678.0,71.0,4.9,0.14,0.5
39,2000-02-09,Wednesday,0,105,125931,"['Eve', 'David']",9,2,1199.3428571428572,0.019047619047619,4.5,2,winter,5679.0,0.0,1.3,0.0,0.0
40,2000-02-10,Thursday,0,106,127246,"['Eve', 'David']",9,2,1200.433962264151,0.0188679245283018,4.5,2,winter,5680.0,1.0,1.4,0.0,0.0
41,2000-02-11,Friday,0,163,195561,"['Eve', 'Ivy', 'David']",14,3,1199.760736196319,0.0184049079754601,4.666666666666667,2,winter,5681.0,1.0,3.2,0.0,0.0
42,2000-02-12,Saturday,0,198,237536,"['Eve', 'Ivy', 'Mia', 'Bob']",17,4,1199.6767676767677,0.0202020202020202,4.25,2,winter,5682.0,1.0,4.8,0.0,0.0
43,2000-02-13,Sunday,0,213,255687,"['Eve', 'Ivy', 'Mia', 'David']",19,4,1200.4084507042253,0.0187793427230046,4.75,2,winter,5683.0,71.0,5.2,0.14,0.4
44,2000-02-14,Monday,1,233,279644,"['Eve', 'Ivy', 'Mia', 'Quinn']",20,4,1200.1888412017167,0.0171673819742489,5.0,2,winter,5684.0,3.0,3.2,0.0,0.0
45,2000-02-15,Tuesday,0,115,138065,"['Eve', 'Ivy']",10,2,1200.5652173913043,0.017391304347826,5.0,2,winter,5685.0,53.0,0.7,0.0,0.7
46,2000-02-16,Wednesday,0,144,172821,"['Eve', 'Ivy', 'Bob']",12,3,1200.1458333333333,0.0208333333333333,4.0,2,winter,5686.0,51.0,-0.5,0.0,0.2
47,2000-02-17,Thursday,0,131,157120,"['Eve', 'Ivy', 'Alice']",11,3,1199.3893129770993,0.0229007633587786,3.6666666666666665,2,winter,5687.0,3.0,0.8,0.0,0.0
48,2000-02-18,Friday,0,152,182300,"['Eve', 'Ivy', 'Charlie']",13,3,1199.342105263158,0.0197368421052631,4.333333333333333,2,winter,5688.0,51.0,0.7,0.0,0.1
49,2000-02-19,Saturday,0,184,220742,"['Eve', 'Ivy', 'Mia', 'Alice']",16,4,1199.6847826086957,0.0217391304347826,4.0,2,winter,5689.0,51.0,3.0,0.0,0.9
50,2000-02-20,Sunday,0,242,290472,"['Eve', 'Ivy', 'Mia', 'Quinn', 'Alice']",21,5,1200.297520661157,0.0206611570247933,4.2,2,winter,5690.0,73.0,2.3,0.49,3.7
51,2000-02-21,Monday,0,180,215972,"['Eve', 'Ivy', 'Mia', 'Alice']",16,4,1199.8444444444444,0.0222222222222222,4.0,2,winter,5691.0,1.0,1.1,0.0,0.0
52,2000-02-22,Tuesday,0,119,142889,"['Eve', 'Ivy']",10,2,1200.7478991596638,0.0168067226890756,5.0,2,winter,5692.0,3.0,1.8,0.0,0.0
53,2000-02-23,Wednesday,0,152,182377,"['Eve', 'Ivy', 'Charlie']",13,3,1199.8486842105262,0.0197368421052631,4.333333333333333,2,winter,5693.0,3.0,2.6,0.0,0.0
54,2000-02-24,Thursday,0,117,140407,"['Eve', 'Ivy']",10,2,1200.059829059829,0.017094017094017,5.0,2,winter,5694.0,51.0,1.8,0.0,0.1
55,2000-02-25,Friday,0,101,121149,"['Eve', 'David']",9,2,1199.4950495049504,0.0198019801980198,4.5,2,winter,5695.0,3.0,0.4,0.0,0.0
56,2000-02-26,Saturday,1,417,500430,"['Eve', 'Ivy', 'Mia', 'Quinn', 'Uma', 'David', 'Hannah', 'Liam']",37,8,1200.071942446043,0.0191846522781774,4.625,2,winter,5696.0,73.0,1.9,0.63,1.3
57,2000-02-27,Sunday,0,300,360010,"['Eve', 'Ivy', 'Mia', 'Quinn', 'Uma', 'Bob']",27,6,1200.0333333333333,0.02,4.5,2,winter,5697.0,51.0,2.3,0.0,0.1
58,2000-02-28,Monday,0,139,166827,"['Eve', 'Ivy', 'Bob']",12,3,1200.1942446043165,0.0215827338129496,4.0,2,winter,5698.0,2.0,4.0,0.0,0.0
59,2000-02-29,Tuesday,0,180,216015,"['Eve', 'Ivy', 'Mia', 'Alice']",16,4,1200.0833333333333,0.0222222222222222,4.0,2,winter,5699.0,3.0,1.0,0.0,0.0
60,2000-03-01,Wednesday,0,118,141610,"['Eve', 'Ivy']",10,2,1200.084745762712,0.0169491525423728,5.0,3,spring,5700.0,2.0,2.4,0.0,0.0
61,2000-03-02,Thursday,0,176,211257,"['Eve', 'Ivy', 'Mia']",15,3,1200.3238636363637,0.0170454545454545,5.0,3,spring,5701.0,0.0,4.7,0.0,0.0
62,2000-03-03,Friday,0,167,200316,"['Eve', 'Ivy', 'Mia']",15,3,1199.497005988024,0.0179640718562874,5.0,3,spring,5702.0,3.0,8.6,0.0,0.0
63,2000-03-04,Saturday,0,276,331186,"['Eve', 'Ivy', 'Mia', 'Quinn', 'David']",24,5,1199.9492753623188,0.0181159420289855,4.8,3,spring,5703.0,61.0,10.4,0.0,7.0
64,2000-03-05,Sunday,0,266,319212,"['Eve', 'Ivy', 'Mia', 'Quinn', 'Charlie']",23,5,1200.045112781955,0.018796992481203,4.6,3,spring,5704.0,53.0,8.6,0.0,5.7
65,2000-03-06,Monday,0,122,146470,"['Eve', 'Ivy']",10,2,1200.5737704918033,0.0163934426229508,5.0,3,spring,5705.0,51.0,4.4,0.0,0.6
66,2000-03-07,Tuesday,0,104,124816,"['Eve', 'David']",9,2,1200.1538461538462,0.0192307692307692,4.5,3,spring,5706.0,2.0,7.7,0.0,0.0
67,2000-03-08,Wednesday,0,102,122382,"['Eve', 'David']",9,2,1199.8235294117646,0.0196078431372549,4.5,3,spring,5707.0,51.0,3.2,0.0,0.8
68,2000-03-09,Thursday,0,162,194377,"['Eve', 'Ivy', 'David']",14,3,1199.858024691358,0.0185185185185185,4.666666666666667,3,spring,5708.0,2.0,2.5,0.0,0.0
69,2000-03-10,Friday,0,120,143984,"['Eve', 'Ivy']",10,2,1199.8666666666666,0.0166666666666666,5.0,3,spring,5709.0,3.0,2.7,0.0,0.0
70,2000-03-11,Saturday,0,181,217226,"['Eve', 'Ivy', 'Mia', 'Alice']",16,4,1200.1436464088397,0.0220994475138121,4.0,3,spring,5710.0,53.0,6.2,0.0,2.8
71,2000-03-12,Sunday,0,195,233989,"['Eve', 'Ivy', 'Mia', 'Bob']",17,4,1199.9435897435897,0.0205128205128205,4.25,3,spring,5711.0,51.0,4.7,0.0,1.1
72,2000-03-13,Monday,0,113,135656,"['Eve', 'Ivy']",10,2,1200.495575221239,0.0176991150442477,5.0,3,spring,5712.0,2.0,5.8,0.0,0.0
73,2000-03-14,Tuesday,0,156,187133,"['Eve', 'Ivy', 'David']",14,3,1199.570512820513,0.0192307692307692,4.666666666666667,3,spring,5713.0,2.0,4.1,0.0,0.0
74,2000-03-15,Wednesday,0,118,141641,"['Eve', 'Ivy']",10,2,1200.3474576271187,0.0169491525423728,5.0,3,spring,5714.0,53.0,6.9,0.0,0.9
75,2000-03-16,Thursday,0,141,169265,"['Eve', 'Ivy', 'Bob']",12,3,1200.4609929078015,0.0212765957446808,4.0,3,spring,5715.0,63.0,6.2,0.0,14.6
76,2000-03-17,Friday,0,130,155911,"['Eve', 'Ivy', 'Alice']",11,3,1199.3153846153846,0.023076923076923,3.6666666666666665,3,spring,5716.0,1.0,4.1,0.0,0.0
77,2000-03-18,Saturday,0,296,355127,"['Eve', 'Ivy', 'Mia', 'Quinn', 'Uma', 'Alice']",26,6,1199.7533783783783,0.0202702702702702,4.333333333333333,3,spring,5717.0,3.0,7.7,0.0,0.0
78,2000-03-19,Sunday,0,255,306077,"['Eve', 'Ivy', 'Mia', 'Quinn', 'Bob']",22,5,1200.3019607843137,0.0196078431372549,4.4,3,spring,5718.0,53.0,10.5,0.0,1.5
79,2000-03-20,Monday,0,176,211241,"['Eve', 'Ivy', 'Mia']",15,3,1200.2329545454545,0.0170454545454545,5.0,3,spring,5719.0,3.0,5.3,0.0,0.0
80,2000-03-21,Tuesday,0,132,158474,"['Eve', 'Ivy', 'Alice']",11,3,1200.560606060606,0.0227272727272727,3.6666666666666665,3,spring,5720.0,61.0,5.8,0.0,4.0
81,2000-03-22,Wednesday,0,174,208793,"['Eve', 'Ivy', 'Mia']",15,3,1199.9597701149426,0.0172413793103448,5.0,3,spring,5721.0,3.0,5.3,0.0,0.0
82,2000-03-23,Thursday,0,116,139217,"['Eve', 'Ivy']",10,2,1200.146551724138,0.0172413793103448,5.0,3,spring,5722.0,63.0,11.6,0.0,21.3
83,2000-03-24,Friday,0,113,135534,"['Eve', 'Ivy']",10,2,1199.41592920354,0.0176991150442477,5.0,3,spring,5723.0,55.0,7.4,0.0,1.9
84,2000-03-25,Saturday,0,272,326302,"['Eve', 'Ivy', 'Mia', 'Quinn', 'David']",24,5,1199.639705882353,0.0183823529411764,4.8,3,spring,5724.0,51.0,5.6,0.0,0.1
85,2000-03-26,Sunday,0,257,308318,"['Eve', 'Ivy', 'Mia', 'Quinn', 'Charlie']",23,5,1199.68093385214,0.0194552529182879,4.6,3,spring,5725.0,51.0,4.1,0.0,0.1
86,2000-03-27,Monday,0,122,146476,"['Eve', 'Ivy']",10,2,1200.622950819672,0.0163934426229508,5.0,3,spring,5726.0,3.0,7.2,0.0,0.0
87,2000-03-28,Tuesday,0,135,161998,"['Eve', 'Ivy', 'Bob']",12,3,1199.9851851851852,0.0222222222222222,4.0,3,spring,5727.0,63.0,13.6,0.0,20.0
88,2000-03-29,Wednesday,0,133,159610,"['Eve', 'Ivy', 'Alice']",11,3,1200.0751879699249,0.0225563909774436,3.6666666666666665,3,spring,5728.0,51.0,11.2,0.0,0.5
89,2000-03-30,Thursday,0,115,137961,"['Eve', 'Ivy']",10,2,1199.6608695652174,0.017391304347826,5.0,3,spring,5729.0,1.0,9.7,0.0,0.0
90,2000-03-31,Friday,0,121,145241,"['Eve', 'Ivy']",10,2,1200.3388429752067,0.0165289256198347,5.0,3,spring,5730.0,3.0,10.3,0.0,0.0
91,2000-04-01,Saturday,0,271,325220,"['Eve', 'Ivy', 'Mia', 'Quinn', 'David']",24,5,1200.0738007380073,0.018450184501845,4.8,4,spring,5731.0,3.0,8.6,0.0,0.0
92,2000-04-02,Sunday,0,285,342009,"['Eve', 'Ivy', 'Mia', 'Quinn', 'Uma']",25,5,1200.0315789473684,0.0175438596491228,5.0,4,spring,5732.0,3.0,9.7,0.0,0.0
93,2000-04-03,Monday,0,129,154758,"['Eve', 'Ivy', 'Alice']",11,3,1199.6744186046512,0.0232558139534883,3.6666666666666665,4,spring,5733.0,3.0,7.2,0.0,0.0
94,2000-04-04,Tuesday,0,117,140500,"['Eve', 'Ivy']",10,2,1200.854700854701,0.017094017094017,5.0,4,spring,5734.0,61.0,10.5,0.0,5.8
95,2000-04-05,Wednesday,0,176,211205,"['Eve', 'Ivy', 'Mia']",15,3,1200.028409090909,0.0170454545454545,5.0,4,spring,5735.0,55.0,11.2,0.0,6.3
96,2000-04-06,Thursday,0,129,154753,"['Eve', 'Ivy', 'Alice']",11,3,1199.6356589147288,0.0232558139534883,3.6666666666666665,4,spring,5736.0,3.0,10.9,0.0,0.0
97,2000-04-07,Friday,0,166,199226,"['Eve', 'Ivy', 'David']",14,3,1200.1566265060242,0.0180722891566265,4.666666666666667,4,spring,5737.0,3.0,12.0,0.0,0.0
98,2000-04-08,Saturday,0,281,337272,"['Eve', 'Ivy', 'Mia', 'Quinn', 'Uma']",25,5,1200.256227758007,0.0177935943060498,5.0,4,spring,5738.0,3.0,10.2,0.0,0.0
99,2000-04-09,Sunday,0,252,302340,"['Eve', 'Ivy', 'Mia', 'Quinn', 'Bob']",22,5,1199.7619047619048,0.0198412698412698,4.4,4,spring,5739.0,3.0,12.7,0.0,0.0
100,2000-04-10,Monday,0,138,165512,"['Eve', 'Ivy', 'Bob']",12,3,1199.3623188405797,0.0217391304347826,4.0,4,spring,5740.0,65.0,14.6,0.0,24.7
101,2000-04-11,Tuesday,0,170,203967,"['Eve', 'Ivy', 'Mia']",15,3,1199.8058823529411,0.0176470588235294,5.0,4,spring,5741.0,0.0,10.0,0.0,0.0
102,2000-04-12,Wednesday,0,130,155965,"['Eve', 'Ivy', 'Alice']",11,3,1199.7307692307693,0.023076923076923,3.6666666666666665,4,spring,5742.0,3.0,12.2,0.0,0.0
103,2000-04-13,Thursday,0,151,181225,"['Eve', 'Ivy', 'Charlie']",13,3,1200.1655629139073,0.0198675496688741,4.333333333333333,4,spring,5743.0,3.0,13.5,0.0,0.0
104,2000-04-14,Friday,0,122,146469,"['Eve', 'Ivy']",10,2,1200.5655737704917,0.0163934426229508,5.0,4,spring,5744.0,3.0,15.6,0.0,0.0
105,2000-04-15,Saturday,0,183,219557,"['Eve', 'Ivy', 'Mia', 'Alice']",16,4,1199.7650273224044,0.0218579234972677,4.0,4,spring,5745.0,53.0,9.5,0.0,8.1
106,2000-04-16,Sunday,0,246,295165,"['Eve', 'Ivy', 'Mia', 'Quinn', 'Bob']",22,5,1199.8577235772357,0.0203252032520325,4.4,4,spring,5746.0,3.0,9.7,0.0,0.0
107,2000-04-17,Monday,1,185,222023,"['Eve', 'Ivy', 'Mia', 'Alice']",16,4,1200.1243243243243,0.0216216216216216,4.0,4,spring,5747.0,2.0,9.9,0.0,0.0
108,2000-04-18,Tuesday,0,102,122384,"['Eve', 'David']",9,2,1199.8431372549019,0.0196078431372549,4.5,4,spring,5748.0,3.0,12.7,0.0,0.0
109,2000-04-19,Wednesday,0,109,130858,"['Eve', 'David']",9,2,1200.532110091743,0.018348623853211,4.5,4,spring,5749.0,61.0,14.9,0.0,7.3
110,2000-04-20,Thursday,0,111,133198,"['Eve', 'David']",9,2,1199.981981981982,0.018018018018018,4.5,4,spring,5750.0,63.0,12.6,0.0,34.3
111,2000-04-21,Friday,0,172,206399,"['Eve', 'Ivy', 'Mia']",15,3,1199.9941860465117,0.0174418604651162,5.0,4,spring,5751.0,53.0,15.5,0.0,6.7
112,2000-04-22,Saturday,0,244,292832,"['Eve', 'Ivy', 'Mia', 'Quinn', 'Alice']",21,5,1200.1311475409836,0.0204918032786885,4.2,4,spring,5752.0,3.0,16.3,0.0,0.0
113,2000-04-23,Sunday,0,190,228034,"['Eve', 'Ivy', 'Mia', 'Bob']",17,4,1200.178947368421,0.0210526315789473,4.25,4,spring,5753.0,61.0,14.2,0.0,2.9
114,2000-04-24,Monday,0,160,192058,"['Eve', 'Ivy', 'David']",14,3,1200.3625,0.01875,4.666666666666667,4,spring,5754.0,55.0,11.7,0.0,3.5
115,2000-04-25,Tuesday,0,171,205263,"['Eve', 'Ivy', 'Mia']",15,3,1200.3684210526317,0.0175438596491228,5.0,4,spring,5755.0,3.0,13.5,0.0,0.0
116,2000-04-26,Wednesday,0,171,205208,"['Eve', 'Ivy', 'Mia']",15,3,1200.046783625731,0.0175438596491228,5.0,4,spring,5756.0,61.0,13.5,0.0,15.3
117,2000-04-27,Thursday,0,154,184730,"['Eve', 'Ivy', 'Charlie']",13,3,1199.5454545454545,0.0194805194805194,4.333333333333333,4,spring,5757.0,61.0,14.3,0.0,5.4
118,2000-04-28,Friday,0,156,187298,"['Eve', 'Ivy', 'David']",14,3,1200.628205128205,0.0192307692307692,4.666666666666667,4,spring,5758.0,51.0,13.2,0.0,0.1
119,2000-04-29,Saturday,0,279,334823,"['Eve', 'Ivy', 'Mia', 'Quinn', 'Uma']",25,5,1200.0824372759857,0.017921146953405,5.0,4,spring,5759.0,3.0,13.4,0.0,0.0
120,2000-04-30,Sunday,0,269,322787,"['Eve', 'Ivy', 'Mia', 'Quinn', 'David']",24,5,1199.9516728624535,0.0185873605947955,4.8,4,spring,5760.0,3.0,16.0,0.0,0.0
121,2000-05-01,Monday,0,141,169128,"['Eve', 'Ivy', 'Bob']",12,3,1199.4893617021276,0.0212765957446808,4.0,5,spring,5761.0,3.0,15.8,0.0,0.0
122,2000-05-02,Tuesday,0,155,185978,"['Eve', 'Ivy', 'Charlie']",13,3,1199.858064516129,0.0193548387096774,4.333333333333333,5,spring,5762.0,53.0,17.3,0.0,2.7
123,2000-05-03,Wednesday,0,126,151172,"['Eve', 'Ivy', 'Alice']",11,3,1199.7777777777778,0.0238095238095238,3.6666666666666665,5,spring,5763.0,61.0,15.7,0.0,8.3
124,2000-05-04,Thursday,0,176,211299,"['Eve', 'Ivy', 'Mia']",15,3,1200.5625,0.0170454545454545,5.0,5,spring,5764.0,53.0,14.6,0.0,1.1
125,2000-05-05,Friday,0,152,182339,"['Eve', 'Ivy', 'Charlie']",13,3,1199.5986842105262,0.0197368421052631,4.333333333333333,5,spring,5765.0,3.0,15.5,0.0,0.0
126,2000-05-06,Saturday,0,236,283244,"['Eve', 'Ivy', 'Mia', 'Quinn', 'Alice']",21,5,1200.1864406779662,0.0211864406779661,4.2,5,spring,5766.0,3.0,17.3,0.0,0.0
127,2000-05-07,Sunday,0,226,271121,"['Eve', 'Ivy', 'Mia', 'Quinn']",20,4,1199.6504424778761,0.0176991150442477,5.0,5,spring,5767.0,51.0,18.4,0.0,0.1
128,2000-05-08,Monday,0,155,185966,"['Eve', 'Ivy', 'Charlie']",13,3,1199.7806451612903,0.0193548387096774,4.333333333333333,5,spring,5768.0,51.0,17.7,0.0,0.1
129,2000-05-09,Tuesday,0,101,121272,"['Eve', 'David']",9,2,1200.7128712871288,0.0198019801980198,4.5,5,spring,5769.0,3.0,18.7,0.0,0.0
130,2000-05-10,Wednesday,0,178,213581,"['Eve', 'Ivy', 'Mia', 'Alice']",16,4,1199.8932584269662,0.0224719101123595,4.0,5,spring,5770.0,3.0,16.8,0.0,0.0
131,2000-05-11,Thursday,0,149,178746,"['Eve', 'Ivy', 'Charlie']",13,3,1199.6375838926174,0.0201342281879194,4.333333333333333,5,spring,5771.0,53.0,16.4,0.0,2.1
132,2000-05-12,Friday,0,168,201552,"['Eve', 'Ivy', 'Mia']",15,3,1199.7142857142858,0.0178571428571428,5.0,5,spring,5772.0,53.0,19.2,0.0,1.6
133,2000-05-13,Saturday,0,264,316725,"['Eve', 'Ivy', 'Mia', 'Quinn', 'Charlie']",23,5,1199.715909090909,0.0189393939393939,4.6,5,spring,5773.0,61.0,18.8,0.0,7.0
134,2000-05-14,Sunday,0,254,304839,"['Eve', 'Ivy', 'Mia', 'Quinn', 'Bob']",22,5,1200.1535433070867,0.0196850393700787,4.4,5,spring,5774.0,61.0,18.3,0.0,4.4
135,2000-05-15,Monday,0,158,189693,"['Eve', 'Ivy', 'David']",14,3,1200.5886075949368,0.0189873417721519,4.666666666666667,5,spring,5775.0,65.0,17.2,0.0,36.1
136,2000-05-16,Tuesday,0,109,130731,"['Eve', 'David']",9,2,1199.366972477064,0.018348623853211,4.5,5,spring,5776.0,53.0,18.4,0.0,2.2
137,2000-05-17,Wednesday,0,168,201616,"['Eve', 'Ivy', 'Mia']",15,3,1200.095238095238,0.0178571428571428,5.0,5,spring,5777.0,55.0,17.0,0.0,5.5
138,2000-05-18,Thursday,0,168,201522,"['Eve', 'Ivy', 'Mia']",15,3,1199.5357142857142,0.0178571428571428,5.0,5,spring,5778.0,51.0,15.0,0.0,1.0
139,2000-05-19,Friday,0,155,186009,"['Eve', 'Ivy', 'Charlie']",13,3,1200.058064516129,0.0193548387096774,4.333333333333333,5,spring,5779.0,63.0,16.2,0.0,11.0
140,2000-05-20,Saturday,0,277,332449,"['Eve', 'Ivy', 'Mia', 'Quinn', 'David']",24,5,1200.1768953068593,0.0180505415162454,4.8,5,spring,5780.0,63.0,15.4,0.0,36.6
141,2000-05-21,Sunday,0,266,319158,"['Eve', 'Ivy', 'Mia', 'Quinn', 'Charlie']",23,5,1199.842105263158,0.018796992481203,4.6,5,spring,5781.0,51.0,16.7,0.0,0.4
142,2000-05-22,Monday,0,119,142722,"['Eve', 'Ivy']",10,2,1199.3445378151262,0.0168067226890756,5.0,5,spring,5782.0,3.0,18.6,0.0,0.0
143,2000-05-23,Tuesday,0,134,160739,"['Eve', 'Ivy', 'Bob']",12,3,1199.544776119403,0.0223880597014925,4.0,5,spring,5783.0,3.0,21.3,0.0,0.0
